NO,Boiling Point,Molecule Weight,Melting Point,Flash Point,Vapor pressure,Water solubility,Log Kow,Log Kaw,Half-life from model River,Carbon chain length,Exposure type,Exposure duration,Media type,Chemical concentration ,Environmental temperature,Compartment classs,Modeled logD,Measured logBCF
178,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,50,Fresh water,0.000870258,12,2.953,-2.67,0.4
179,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,57,Fresh water,13.2,12,3.6,-2.67,0.43
180,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,57,Fresh water,0.000870258,12,2.953,-2.67,0.43
181,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,57,Fresh water,13.2,12,7.005,-2.67,0.76
182,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,57,Fresh water,13.2,12,4.333,-2.67,0.94
183,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,57,Fresh water,13.2,12,2.23,-2.67,2.45
184,384.9,390.6,-55,207,1.42E-07,9.96E-02,7.53,-3.57,2.75,24,Renewal,3,Fresh water,0.02,22.5,2.953,7.91,2.66
185,337.4,178.23,78.09,146.6,6.53E-06,6.91E-01,4.45,-2.643,0.643,14,Renewal,3,Fresh water,0.026,22.5,2.953,4.68,2.96
186,331.5,257.5,100.85,227.3,4.00E-04,2.97E-01,5.69,-2.11,0.274,12,Renewal,3,Fresh water,0.036,22.5,2.953,5.52,3.42
187,354.1,326.4,134.6,165.4,2.22E-06,9.39E-03,6.98,-2.423,0.309,12,Renewal,3,Fresh water,0.034,22.5,2.953,6.3,3.37
188,279,154.21,93.4,135.3,2.15E-03,2.53E+00,3.92,-2.128,0.219,12,Flow-through,28,Fresh water,0.00894,16,2.953,3.99,2.59
189,297,222.24,-64,160,2.10E-03,1.04E+03,2.63,-4.12,0.347,12,Flow-through,21,Fresh water,0.00942,16,2.953,2.71,2.07
190,408.3,312.4,61.05,198.3,8.25E-06,9.49E-01,4.73,-4.288,34.29,19,Flow-through,21,Fresh water,0.00973,16,2.953,4.67,2.82
191,346.5,198.22,102.86,163.4,6.97E-05,9.49E+01,3.13,-4.306,28.45,12,Flow-through,14,Fresh water,0.00921,16,2.953,3.03,2.34
192,77.3,53.06,-72.38,0,1.09E+02,4.53E+04,0.25,-2.249,0.16,3,Flow-through,28,Fresh water,0.00994,16,2.953,0.46,1.68
193,384.9,390.6,-55,207,1.42E-07,9.96E-02,7.53,-3.57,2.75,24,Flow-through,42,Fresh water,0.00582,16,2.953,7.91,2.06
194,282.7,194.18,5,146,1.00E-02,4.00E+03,1.69,-4.03,0.191,10,Flow-through,21,Fresh water,0.00874,16,2.953,-1.2,1.76
195,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,0.1667,Salt water,0.02,20,2.953,3.37,0.3
196,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,0.1667,Salt water,2,20,2.953,3.37,0.34
197,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,0.1667,Salt water,0.02,20,3.6,3.37,0.43
198,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,0.1667,Salt water,2,20,3.6,3.37,0.48
199,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,0.1667,Salt water,2,20,4.846,3.37,0.85
200,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,0.1667,Salt water,0.02,20,4.846,3.37,0.93
201,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,0.1667,Salt water,2,20,2.23,3.37,1.13
202,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,0.1667,Salt water,0.02,20,2.23,3.37,1.16
